,author_id,gender,works_count
786,2238,female,123
787,1036736,female,250
788,21387,None,52
789,6760,female,80
790,3490,female,29
791,9550,female,139
792,16204,None,19
793,9212,female,42
794,8276614,None,9
795,99044,female,303
796,12546,male,46
797,4820,male,253
798,4030,male,76
799,575,None,41
800,1648,male,32
801,18819,female,54
802,47499,female,33
803,29085,None,55
804,721,male,264
805,33031,male,233
806,27498,female,292
807,42211,None,77
808,14255,female,293
809,3780,male,648
810,442240,None,74
811,5088,male,35
812,9355,None,431
813,1405152,male,58
814,7508,male,46
815,4330590,female,106
816,25334,female,26
817,8885,male,92
818,6556689,female,71
819,3163298,None,8
820,8573519,female,76
821,14610,male,164
822,2384,female,114
823,4684322,female,43
824,575,None,41
825,630,male,88
826,3490,female,29
827,150484,male,53
828,235,male,43
829,7128,female,65
830,8214,male,45
831,2546,male,100
832,2384,female,114
833,4610,male,97
834,5023,None,32
835,305400,female,40
836,2384,female,114
837,3299,male,145
838,374590,male,14
839,14255,female,293
840,65678,female,28
841,970639,female,3
842,99044,female,303
843,10517,male,216
844,8685,female,373
845,2876763,female,15
846,11679,female,33
847,20258,female,76
848,8716,female,473
849,9629,male,188
850,11349,female,545
851,3453636,female,96
852,138518,male,106
853,73149,male,39
854,21155,female,146
855,11349,female,545
856,6485178,None,20
857,2905297,female,77
858,1932450,male,24
859,15263414,None,3
860,4043,male,249
861,290189,female,15
862,4820,male,253
863,17065,None,144
864,7136914,female,48
865,6161912,male,2
866,1025097,female,103
867,71170,male,62
868,115220,female,52
869,3502,None,79
870,6268,female,132
871,174088,female,8
872,1973,female,50
873,26372,female,83
874,16667,male,2697
875,8716,female,473
876,24689,None,114
877,941441,female,70
878,1429808,female,124
879,4503081,female,10
880,2383,female,20
881,63539,None,38
882,1415338,male,98
883,9346,male,66
884,625,female,779
885,9226,male,188
886,9629,male,188
887,26897,female,45
888,1657638,female,223
889,9629,male,188
890,3780,male,554
891,26897,female,45
892,232473,female,78
893,4562483,None,22
894,4537214,female,6
895,42211,None,77
896,1025097,female,103
897,36935,female,25
898,127216,female,21
899,8730,female,51
900,569,male,27
901,6252,male,306
902,589,male,545
903,3354,male,376
904,6268,female,132
905,6485178,None,20
906,1612,male,241
907,1654,male,394
908,3524,female,600
909,1029937,male,5
910,81011,male,30
911,713,female,18
912,NaN,None,NaN
913,38809,male,85
914,5830526,female,16
915,10029,male,23
916,6268,female,132
917,48895,None,56
918,18411,male,168
919,88301,None,42
920,55215,male,55
921,6861964,female,8
922,2345,male,110
923,988190,male,10
924,47072,male,10
925,21387,None,52
926,5430378,female,24
927,14655,male,44
928,14584166,female,5
929,3621,male,77
930,18819,female,54
931,6218,female,157
932,656983,male,424
933,2546,male,100
934,3541,female,58
935,17061,None,159
936,65335,male,64
937,721,male,264
938,3936,male,112
939,2345,male,110
940,3780,male,648
941,1402383,female,68
942,20248,None,131
943,21559,None,35
944,17065,None,144
945,18411,male,168
946,4678962,male,9
947,12577,male,97
948,4820,male,253
949,2387,female,261
950,17152,male,155
951,7577,female,166
952,56,male,103
953,63607,male,41
954,36935,female,25
955,6160,None,65
956,19051,female,94
957,1953433,male,28
958,49941,male,29
959,5246,female,84
960,10521,male,76
961,33773,male,95
962,3532,female,180
963,32498,None,137
964,195905,None,19
965,589,male,545
966,3389,male,1607
967,4430,None,191
968,1605157,female,4
969,2384,female,114
970,6223,None,270
971,16961,female,165
972,49699,female,102
973,14843033,None,20
974,11630,female,48
975,3500,female,62
976,48895,None,56
977,2546,male,100
978,1415338,male,98
979,14358948,female,6
980,3290920,female,21
981,10517,male,216
982,4432,male,37
983,1402383,female,68
984,88301,None,42
985,20248,None,131
986,4763,male,129
987,1351903,male,145
988,11349,female,545
989,57651,male,456
990,6160,None,65
991,3453636,female,96
992,88506,male,260
993,3780,male,554
994,17287509,female,1
995,12577,male,97
996,3505,male,12
997,53936,male,60
998,4043,male,249
999,6655354,female,33
1000,776612,None,16
1001,9987,female,75
1002,93504,None,23
1003,3780,male,554
1004,18149,female,101
1005,346732,male,908
1006,20258,female,76
1007,2383,female,20
1008,2408,male,86
1009,12915,female,35
1010,1166851,female,122
1011,6218,female,157
1012,221833,male,36
1013,6573700,female,8
1014,5437976,None,21
1015,33031,male,233
1016,6464799,female,4
1017,29471,female,14
1018,10746,male,158
1019,99044,female,303
1020,8154,male,140
1021,16500087,None,3
1022,6452053,female,11
1023,14255,female,293
1024,33031,male,233
1025,589,male,545
1026,5088,male,35
1027,7773619,female,16
1028,9291,male,126
1029,14255,female,293
1030,3472,female,341
1031,6134,None,69
1032,138825,female,14
1033,182823,male,6
1034,10517,male,216
1035,18943,male,296
1036,53936,male,60
1037,2970,male,22
1038,38550,male,240
1039,2345,male,110
1040,1238,male,85
1041,5353,female,96
1042,5021072,male,18
1043,13370,female,26
1044,23511,female,92
1045,2522,female,74
1046,188932,male,41
1047,221833,male,36
1048,14851776,male,12
1049,136085,None,13
1050,721,male,264
1051,71170,male,62
1052,1194,male,87
1053,38809,male,85
1054,2130,male,174
1055,3780,male,648
1056,140695,male,43
1057,20704,None,18
1058,158735,male,9
1059,242659,male,28
1060,7128,female,65
1061,3541,female,58
1062,15968276,None,3
1063,1023510,male,303
1064,3441,male,93
1065,12577,male,97
1066,3472,female,341
1067,6894226,male,7
1068,14255,female,293
1069,6218,female,157
1070,17065,None,144
1071,4428,None,53
1072,3936,male,112
1073,3780,male,648
1074,14989,male,36
1075,2491130,None,20
1076,721,male,264
1077,14610,male,164
1078,3780,male,648
1079,9629,male,188
1080,18149,female,101
1081,32498,None,137
1082,3936,male,112
1083,32638,None,160
1084,5137530,male,45
1085,41313,female,46
1086,242659,male,28
1087,14002,male,129
1088,2261547,female,20
1089,32498,None,137
1090,5918,female,10
1091,24655,female,32
1092,2932249,female,119
1093,3462959,male,16
1094,6946,female,40
1095,18282,female,51
1096,6125,female,35
1097,17061,None,159
1098,1953433,male,28
1099,49625,female,27
1100,10746,male,158
1101,38550,male,240
1102,107672,None,25
1103,3387675,female,17
1104,7128,female,65
1105,97313,female,24
1106,20248,None,131
1107,20258,female,76
