,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
5356,SISTERLAND,Curtis Sittenfeld,Random House,Twin sisters share psychic powers. One suppresses her ability while trying to fit in as a suburban housewife; the other cultivates her unusual gifts and becomes a professional medium.,12,1,SISTERLAND
5361,HIDDEN ORDER,Brad Thor,Emily Bestler/Atria,"As the counterterrorism operative Scot Harvath searches for the murderer of candidates to head a powerful, mysterious agency, he uncovers a plot with roots in the 18th century.",13,5,HIDDEN+ORDER
5364,BOMBSHELL,Catherine Coulter,Putnam,"After the F.B.I. special agent Griffin Hammersmith accepts Dillon Savich’s invitation to join him and Lacey Sherlock, Hammersmith’s sister is savagely beaten.",10,3,BOMBSHELL
5370,THE LIGHT IN THE RUINS,Chris Bohjalian,Doubleday,"Memories of World War II are evoked in 1955 when a Florentine police investigator, a former partisan, tries to find a serial killer who has targeted a Tuscan nobleman’s family.",11,2,THE+LIGHT+IN+THE+RUINS
5376,CRUCIBLE,Troy Denning,LucasBooks,,17,0,CRUCIBLE
5379,THE SON,Philipp Meyer,Ecco/HarperCollins,"A multigenerational saga of power, blood, land and oil that follows the rise of one Texas family, from Comanche raids to the present.",10,5,THE+SON
5380,THE ENGLISH GIRL,Daniel Silva,Harper,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, steps in to help the British prime minister, whose lover has been kidnapped. ",1,7,THE+ENGLISH+GIRL
5382,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","The struggling detective Cormoran Strike investigates a supermodel’s suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5383,FIRST SIGHT,Danielle Steel,Delacorte,A talented American designer whose troubled past has soured her on relationships falls in love with a French doctor.,14,5,FIRST+SIGHT
5384,AND THE MOUNTAINS ECHOED,Khaled Hosseini,Riverhead,A multigenerational family saga from the author of “The Kite Runner.”,11,9,AND+THE+MOUNTAINS+ECHOED
5385,HIDDEN ORDER,Brad Thor,Emily Bestler/Atria,The counterterrorism operative Scot Harvath uncovers a plot with roots in the 18th century.,13,5,HIDDEN+ORDER
5388,SECOND HONEYMOON,James Patterson and Howard Roughan,"Little, Brown",The F.B.I. agent John O’Hara investigates the murder of a pair of newlyweds.,12,6,SECOND+HONEYMOON
5389,BOMBSHELL,Catherine Coulter,Putnam,The F.B.I. special agent Griffin Hammersmith accepts Dillon Savich’s invitation to join him and Lacey Sherlock.,10,3,BOMBSHELL
5390,WITCH WRAITH,Terry Brooks,Ballantine,"The third book of the Dark Legacy of Shannara, a fantasy trilogy. ",11,1,WITCH+WRAITH
5392,HUNTING EVE,Iris Johansen,St. Martin's,"In the second book of a trilogy, the forensic sculptor Eve Duncan struggles to outwit a kidnapper in the Colorado wilderness.",13,1,HUNTING+EVE
5393,"LOVE, DISHONOR, MARRY, DIE, CHERISH, PERISH",David Rakoff,Doubleday,"A novel in verse about interlocking characters by the writer, humorist and contributor to “This American Life,” who died in August 2012. ",14,2,"LOVE,+DISHONOR,+MARRY,+DIE,+CHERISH,+PERISH"
5394,WILLIAM SHAKESPEARE'S STAR WARS,Ian Doescher,Quirk Books,"The story of a beautiful princess, a young hero, a wise knight and an evil lord, told in iambic pentameter. ",10,6,WILLIAM+SHAKESPEARE%27S+STAR+WARS
5395,THE LIGHT IN THE RUINS,Chris Bohjalian,Doubleday,Memories of World War II are evoked in 1955 when a Florentine police investigator hunts a serial killer.,11,2,THE+LIGHT+IN+THE+RUINS
5397,BEAUTIFUL DAY,Elin Hilderbrand,"Reagan Arthur/Little, Brown",A summer wedding on Nantucket is beset by scandal and heartbreak as the loved ones of the couple-to-be find their lives crumbling.,18,3,BEAUTIFUL+DAY
5398,THE SILVER STAR,Jeannette Walls,Scribner,"When their artistic but irresponsible mother takes off to find herself in 1970, a 12-year-old California girl and her big sister join the rest of their family in Virginia.",10,5,THE+SILVER+STAR
5399,THE EYE OF GOD,James Rollins,Morrow/HarperCollins,"As the end of the world looms, Cmdr. Gray Pierce and Sigma Force race to unravel a mystery tied to the fall of the Roman Empire.",13,3,THE+EYE+OF+GOD
5404,LIGHT OF THE WORLD,James Lee Burke,Simon & Schuster,A savage killer follows the detective Dave Robicheaux and his family to a Montana ranch. ,10,3,LIGHT+OF+THE+WORLD
5409,THE WHITE PRINCESS,Philippa Gregory,Touchstone,"Elizabeth of York’s marriage to Henry Tudor unites the warring houses, but divides the princess’ loyalties. From the author of “The Other Boleyn Girl.” ",10,2,THE+WHITE+PRINCESS
5412,A DANCE WITH DRAGONS,George R R Martin,Bantam,"After a colossal battle, the Seven Kingdoms face new threats; Book 5 of “A Song of Ice and Fire.”",1,9,A+DANCE+WITH+DRAGONS
5415,WILLIAM SHAKESPEARE'S STAR WARS,Ian Doescher,Quirk Books,"The story of a beautiful princess, a young hero, a wise knight and an evil lord, told in iambic pentameter.",10,6,WILLIAM+SHAKESPEARE%27S+STAR+WARS
5426,THE HIGHWAY,C  J Box,Minotaur,The former investigator Cody Hoyt searches for two teenage girls who disappeared on a cross-country trip.,16,2,THE+HIGHWAY
5431,DEATH ANGEL,Linda Fairstein,Dutton,"In investigating a Central Park murder, Alexandra Cooper, a Manhattan assistant district attorney, discovers a possible connection to other missing women. ",12,2,DEATH+ANGEL
5436,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A successful businesswoman and devoted wife and mother finds a letter that throws everything she's believed into doubt.,10,9,THE+HUSBAND%27S+SECRET
5437,BLOOD AND BEAUTY,Sarah Dunant,Random House,,18,0,BLOOD+AND+BEAUTY
5439,BOMBSHELL,Catherine Coulter,Putnam,The F.B.I. agents Dillon Savich and Lacey Sherlock have their hands full when the grandson of a former Federal Reserve chairman is found murdered at the foot of the Lincoln Memorial.,10,3,BOMBSHELL
5440,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","A detective probess a supermodel’s suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5441,MISTRESS,James Patterson and David Ellis,"Little, Brown","When he begins to investigate a friend’s mysterious death, a man discovers that she was leading a double life.",10,6,MISTRESS
5443,AND THE MOUNTAINS ECHOED,Khaled Hosseini,Riverhead,A multigenerational family saga centers on a brother and sister born in Afghanistan.,11,9,AND+THE+MOUNTAINS+ECHOED
5445,HOTSHOT,Julie Garwood,Dutton,"Surrounded by enemies who want her to fail in the resort business, Peyton Lockhart calls on Finn MacBain, a childhood friend who once saved her life and is now an F.B.I. agent.",17,1,HOTSHOT
5446,THE ENGLISH GIRL,Daniel Silva,Harper,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, steps in to help the British prime minister. ",1,7,THE+ENGLISH+GIRL
5447,THE LAST WITNESS,WEB Griffin and William E Butterworth IV,Putnam,The Philadelphia homicide detective Matt Payne searches for a crucial witness who has gone into hiding; a Badge of Honor novel. ,13,2,THE+LAST+WITNESS
5449,THE COMPANIONS,R A Salvatore,Wizards of the Coast,"Book 1 of a new fantasy series, The Sundering. ",10,2,THE+COMPANIONS
5450,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A woman’s life is upended when she discovers a letter from her husband she was not meant to read. ,10,9,THE+HUSBAND%27S+SECRET
5451,A DANCE WITH DRAGONS,George R R Martin,Bantam,Book 5 of “A Song of Ice and Fire.”,1,9,A+DANCE+WITH+DRAGONS
5456,BAD MONKEY,Carl Hiaasen,Knopf,"Andrew Yancy, a defrocked Miami detective turned restaurant inspector, investigates a grisly murder.",11,9,BAD+MONKEY
5457,LIGHT OF THE WORLD,James Lee Burke,Simon & Schuster,A savage killer follows the detective Dave Robicheaux and his family to a Montana ranch.,10,3,LIGHT+OF+THE+WORLD
5458,THE WHITE PRINCESS,Philippa Gregory,Touchstone,"Elizabeth of York’s marriage to Henry Tudor unites the warring houses, but divides the princess’ loyalties.",10,2,THE+WHITE+PRINCESS
5459,SECOND HONEYMOON,James Patterson and Howard Roughan,"Little, Brown","As he investigates the murder of a pair of newlyweds, the F.B.I. agent John O’Hara crosses paths with Special Agent Sarah Brubaker, who's hunting another serial killer.",12,6,SECOND+HONEYMOON
5462,ROSE HARBOR IN BLOOM,Debbie Macomber,Ballantine,The second book of the Inn at Rose Harbor series continues the story of Jo Marie Rose and her bed-and-breakfast in Cedar Cove.,14,2,ROSE+HARBOR+IN+BLOOM
5463,INFERNO,Dan Brown,Doubleday,"The symbologist Robert Langdon, on the run in Florence, must decipher a series of codes created by a Dante-loving scientist.",1,9,INFERNO
5466,THE ENGLISH GIRL,Daniel Silva,Harper,"Gabriel Allon, an art restorer and occasional spy for the Israeli secret service, steps in to help the British prime minister.",1,7,THE+ENGLISH+GIRL
5468,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A woman’s life is upended when she discovers a letter from her husband she was not meant to read.,10,9,THE+HUSBAND%27S+SECRET
5471,THE COMPANIONS,R A Salvatore,Wizards of the Coast,"Book 1 of a new fantasy series, The Sundering.",10,2,THE+COMPANIONS
5472,THE LAST WITNESS,WEB Griffin and William E Butterworth IV,Putnam,The Philadelphia homicide detective Matt Payne searches for a crucial witness who has gone into hiding; a Badge of Honor novel.,13,2,THE+LAST+WITNESS
5477,THE LAST KISS GOODBYE,Karen Robards,Ballantine,,18,0,THE+LAST+KISS+GOODBYE
5479,HIDDEN ORDER,Brad Thor,Emily Bestler/Atria,"When the five candidates being considered to head a mysterious agency are abducted, the counterterrorism operative Scot Harvath must untangle a web of conspiracies going back to the 18th century.",13,5,HIDDEN+ORDER
5480,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","A struggling detective, Cormoran Strike, investigates s a supermodels suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5482,MISTRESS,James Patterson and David Ellis,"Little, Brown","When he begins to investigate a friends mysterious death, a man discovers that she was leading a double life.",10,6,MISTRESS
5484,THE THIRD KINGDOM,Terry Goodkind,Tor/Tom Doherty,A sequel to The Omen Machine.,14,2,THE+THIRD+KINGDOM
5485,NIGHT FILM,Marisha Pessl,Random House,Investigators pursue a master horror film auteur after his daughter is found dead.,14,3,NIGHT+FILM
5486,THE BONE SEASON,Samantha Shannon,Bloomsbury,A young clairvoyant discovers her powers in a dystopian England in 2059; the first pick of the Today show book club.,10,3,THE+BONE+SEASON
5488,THE KILL LIST,Frederick Forsyth,Putnam,An Arabic-speaking Marine major known as the Tracker pursues a terrorist who radicalizes young Muslims living abroad.,13,2,THE+KILL+LIST
5489,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A womans life is upended when she discovers a letter she was not meant to read.,10,9,THE+HUSBAND%27S+SECRET
5492,A DANCE WITH DRAGONS,George R R Martin,Bantam,Book 5 of A Song of Ice and Fire.,1,9,A+DANCE+WITH+DRAGONS
5495,TAMARACK COUNTY,William Kent Krueger,Atria,A private investigator pursues threats in rural Minnesota.,16,1,TAMARACK+COUNTY
5496,THE GIRL YOU LEFT BEHIND,Jojo Moyes,Pamela Dorman,"A portrait is the catalyst linking two stories of love, loss and sacrifice, one set in France during World War I, the other in 21st-century London.",17,0,THE+GIRL+YOU+LEFT+BEHIND
5497,COMPOUND FRACTURES,Stephen White,Dutton,,18,0,COMPOUND+FRACTURES
5499,THE DAUGHTERS OF MARS,Thomas Keneally,Atria,,20,0,THE+DAUGHTERS+OF+MARS
5500,HOW THE LIGHT GETS IN,Louise Penny,Minotaur,Chief Inspector Armand Gamache of the Sûreté du Québec seeks a refuge in the tiny mountain village of Three Pines. ,1,3,HOW+THE+LIGHT+GETS+IN
5501,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","A struggling detective, Cormoran Strike, investigates s a supermodel’s suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5505,THE WHOLE ENCHILADA,Diane Mott Davidson,Morrow/HarperCollins,Someone is stalking the caterer and sleuth Goldy Schulz. ,15,2,THE+WHOLE+ENCHILADA
5506,BONES OF THE LOST,Kathy Reichs,Scribner,The investigation of a hit-and-run leads the forensic anthropologist Temperance Brennan into the world of human trafficking; the 16th novel in the series behind the show “Bones.” ,18,1,BONES+OF+THE+LOST
5509,THE BONE SEASON,Samantha Shannon,Bloomsbury,A young clairvoyant discovers her powers in a dystopian England in 2059; the first pick of the “Today” show book club.,10,3,THE+BONE+SEASON
5510,THE HUSBAND'S SECRET,Liane Moriarty,Amy Einhorn/Putnam,A woman’s life is upended when she discovers a letter she was not meant to read.,10,9,THE+HUSBAND%27S+SECRET
5511,KENOBI,John Jackson Miller,Del Rey,The enigmatic stranger on the desert planet of Tatooine is the Jedi master Obi-Wan Kenobi; a “Star Wars” novel.,12,1,KENOBI
5513,THE THIRD KINGDOM,Terry Goodkind,Tor/Tom Doherty,A sequel to “The Omen Machine.”,14,2,THE+THIRD+KINGDOM
5516,THE OCEAN AT THE END OF THE LANE,Neil Gaiman,Morrow/HarperCollins,"A middle-aged man recalls his lonely boyhood in Sussex, England, and his friendship with a remarkable girl.",1,9,THE+OCEAN+AT+THE+END+OF+THE+LANE
5518,THE RETURNED,Jason Mott,Harlequin MIRA,"An elderly couple in North Carolina are stunned by the reappearance of their son, who died in 1966, one of the many returned who are showing up around the world. ",16,1,THE+RETURNED
5519,BLIND JUSTICE,Anne Perry,Ballantine,,20,0,BLIND+JUSTICE
5520,NEVER GO BACK,Lee Child,Delacorte,Jack Reacher is thrown into jail on trumped-up charges. ,1,7,NEVER+GO+BACK
5521,THE MAYAN SECRETS,Clive Cussler and Thomas Perry,Putnam,"Sam and Remi Fargo, a husband-and-wife treasure-hunting team, discover a Mayan codex. ",13,3,THE+MAYAN+SECRETS
5522,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","A detective investigates a  suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5523,STYXX,Sherrilyn Kenyon,St. Martin's,"Acheron and Styxx, his often-estranged brother, must learn to trust each other in this Dark-Hunter novel.",16,2,STYXX
5525,DARK LYCAN,Christine Feehan,Penguin Group (USA) Incorporated,"Tatijana of the Dragonseekers encounters Fenris Dalka, who has returned to the Carpathian Mountains.  ",18,1,DARK+LYCAN
5527,MADDADDAM,Margaret Atwood,Nan A. Talese/Doubleday,"In the concluding volume of an apocalyptic trilogy, survivors of a man-made plague await the final showdown.",15,2,MADDADDAM
5532,THE BONE SEASON,Samantha Shannon,Bloomsbury,A young clairvoyant discovers her powers in a dystopian England in 2059; the first pick of the “Today”  book club.,10,3,THE+BONE+SEASON
5535,THE RETURNED,Jason Mott,Harlequin Mira,"An elderly couple in North Carolina are stunned by the reappearance of their son, who died in 1966, one of the many returned who are showing up around the world. ",16,1,THE+RETURNED
5537,BONES OF THE LOST,Kathy Reichs,Scribner,The investigation of a hit-and-run leads the forensic anthropologist Temperance Brennan into the world of human trafficking.,18,1,BONES+OF+THE+LOST
5540,W IS FOR WASTED,Sue Grafton,Marian Wood/Putnam,"A homeless man inexplicably leaves $600,000 to Kinsey Millhone.",1,5,W+IS+FOR+WASTED
5545,ROBERT B. PARKER’S DAMNED IF YOU DO,Michael Brandman,Putnam,"A continuation of Parker’s series featuring Jesse Stone, the chief of police in Paradise, Mass.  ",15,2,ROBERT+B.+PARKER%27S+DAMNED+IF+YOU+DO
5546,SECOND WATCH,J A Jance,Morrow/HarperCollins,The investigator J. P. Beaumont has disturbing dreams about his early days on the Seattle P.D. and his time in Vietnam.,18,1,SECOND+WATCH
5548,SOMEONE,Alice McDermott,"Farrar, Straus & Giroux",Looking back on the life of an ordinary woman. ,17,1,SOMEONE
5550,SONGS OF WILLOW FROST,Jamie Ford,Ballantine,A 12-year-old Seattle orphan during the Depression becomes convinced that a movie star is really his vanished mother. ,11,1,SONGS+OF+WILLOW+FROST
5552,MISTRESS,James Patterson and David Ellis,"Little, Brown",Aman discovers that his friend led a double life.,10,6,MISTRESS
5554,MADDADDAM,Margaret Atwood,Nan A. Talese/Doubleday,The concluding volume of an apocalyptic trilogy about survivors of a man-made plague.,15,2,MADDADDAM
5555,STYXX,Sherrilyn Kenyon,St. Martin's,"Acheron and Styxx, his estranged brother, must learn to trust each other in this Dark-Hunter novel.",16,2,STYXX
5558,THE SOUND AND THE FURRY,Spencer Quinn,Atria,,19,0,THE+SOUND+AND+THE+FURRY
5559,DISSIDENT GARDENS,Jonathan Lethem,Doubleday,,20,0,DISSIDENT+GARDENS
5560,THE LONGEST RIDE,Nicholas Sparks,Grand Central,The lives of two couples converge unexpectedly. ,1,9,THE+LONGEST+RIDE
5561,THE QUEST,Nelson DeMille,Center Street,Two journalists join an elderly priest who has recently escaped from an Ethiopian jail in a search for a holy relic.,12,5,THE+QUEST
5562,THANKLESS IN DEATH,J D Robb,Putnam,"Lt. Eve Dallas searches for a young man who murdered his parents; by Nora Roberts, writing pseudonymously.  ",13,3,THANKLESS+IN+DEATH
5565,BLEEDING EDGE,Thomas Pynchon,Penguin Press,A fraud investigator and Upper West Side mom looks into a suspicious computer security company in 2001. ,14,2,BLEEDING+EDGE
5566,THE FINAL CUT,Catherine Coulter and JT Ellison,Putnam,Chief Inspector Nicholas Drummond of Scotland Yard joins the F.B.I. special agents Lacey Sherlock and Dillon Savich in a hunt for an international jewel thief in the first volume of a new series. ,20,2,THE+FINAL+CUT
5567,DEADLY HEAT,Richard Castle,Hyperion,"The N.Y.P.D. homicide detective Nikki Heat and the journalist Jameson Rook search for the former C.I.A. station chief who ordered her mother’s execution.
The N.Y.P.D. homicide detective Nikki Heat and the journalist Jameson Rook search for the former C.I.A. station chief who ordered her mother’s execution.",16,2,DEADLY+HEAT
5573,WHO ASKED YOU?,Terry McMillan,Viking,A Los Angeles matriarch already has her hands full when her drug-addicted daughter abandons her two sons.,14,1,WHO+ASKED+YOU
5579,HOW THE LIGHT GETS IN,Louise Penny,Minotaur,"When his friends’ safety is compromised, Chief Inspector Armand Gamache of the Sûreté du Québec seeks a refuge in the village of Three Pines.",1,3,HOW+THE+LIGHT+GETS+IN
5580,DOCTOR SLEEP,Stephen King,Scribner,"Now grown up, Dan, the boy with psycho-intuitive powers in “The Shining,” helps another threatened child with a spectacular gift.",1,9,DOCTOR+SLEEP
5582,THE LOWLAND,Jhumpa Lahiri,Knopf,"After his radical brother is killed, an Indian scientist brings his widow to join him in America.",10,5,THE+LOWLAND
5586,DEADLINE,Sandra Brown,Grand Central,"A journalist who pursues a story about a former marine, the son of terrorists from 40 years ago,becomes a suspect in the death of his ex-wife.",1,6,DEADLINE
5595,DEADLY HEAT,Richard Castle,Hyperion,The N.Y.P.D. homicide detective Nikki Heat and the journalist Jameson Rook search for the former C.I.A. station chief who ordered her mother’s execution.The N.Y.P.D. homicide detective Nikki Heat and the journalist Jameson Rook search for the former C.I.A. station chief who ordered her mother’s execution.,16,2,DEADLY+HEAT
5598,THE MAYAN SECRETS,Clive Cussler and Thomas Perry,Putnam,In Mexico the treasure hunters Sam and Remi Fargo discover a Mayan codex.,13,3,THE+MAYAN+SECRETS
5602,GONE,James Patterson and Michael Ledwidge,"Little, Brown","Detective Michael Bennett, living with his 10 adopted children on a California farm, is pursued by the head of a Mexican drug cartel he once put in jail. ",15,5,GONE
5603,THE SIGNATURE OF ALL THINGS,Elizabeth Gilbert,Viking,"A 19th-century botanist’s love of knowledge takes her to Tahiti; by the author of “Eat, Pray, Love.”",11,5,THE+SIGNATURE+OF+ALL+THINGS
5608,SILENCING EVE,Iris Johansen,St. Martin's,The final book of a trilogy about the forensic sculptor Eve Duncan. ,9,1,SILENCING+EVE
5609,SPIDER WOMAN'S DAUGHTER,Anne Hillerman,Harper,"The daughter of Tony Hillerman, who died in 2008, continues the story of her father’s characters, Navajo police inspector Joe Leaphorn and Sgt. Joe Chee.",10,1,SPIDER+WOMAN%27S+DAUGHTER
5613,THE OCTOBER LIST,Jeffery Deaver,Grand Central,A woman innocently finds herself in possession of a list that makes her the target of ruthless criminals. ,14,1,THE+OCTOBER+LIST
5615,POSSESSION,J R Ward,New American Library,Book 5 of the Fallen Angels paranormal romance series. ,16,1,POSSESSION
5616,THE CUCKOO'S CALLING,Robert Galbraith,"Mullholland Books/Little, Brown","The struggling detective and former military man Cormoran Strike investigates a London supermodel’s suicide; by J.K. Rowling, writing pseudonymously.",1,9,THE+CUCKOO%27S+CALLING
5617,GONE GIRL,Gillian Flynn,Crown,"A woman disappears from her Missouri home on her fifth anniversary; is her bitter, oddly evasive husband a killer?",1,9,GONE+GIRL
5619,THE FINAL CUT,Catherine Coulter and JT Ellison,Putnam,"Nicholas Drummond, Scotland Yard’s new chief inspector, teams up with the F.B.I. agents Dillon Savich and Lacey Sherlock to hunt for an international jewel thief.",20,2,THE+FINAL+CUT
5620,STORM FRONT,John Sandford,Putnam,The Minnesota investigator Virgil Flowers becomes involved in the hunt for an ancient inscribed stone smuggled out of the Middle East.,1,4,STORM+FRONT
5624,DOG SONGS,Mary Oliver,Penguin,"The dogs who have shared the life of the Pulitzer Prize-winning poet, in 35 poems and an essay.",16,1,DOG+SONGS
5625,STARRY NIGHT,Debbie Macomber,Ballantine,"At Christmastime, a big-city columnist sets out to interview a reclusive author in Alaska. ",19,1,STARRY+NIGHT
5626,THE CIRCLE,Dave Eggers,Knopf/McSweeney's,A dystopian novel about life on the campus of a powerful Internet company.,10,4,THE+CIRCLE
5627,DOING HARD TIME,Stuart Woods,Putnam,"In the 27th Stone Barrington novel, the New York lawyer teams up with a rogue former C.I.A. agent and heads West to protect Barrington’s son and his friends from Russian assassins.",19,1,DOING+HARD+TIME
5630,DOOMED,Chuck Palahniuk,Doubleday,"In this sequel to “Damned,” Satan has plans for a dead girl trapped in Purgatory (a k a Earth). ",11,1,DOOMED
5634,"THE FALL OF THE GOVERNOR, PART 1",Robert Kirkman and Jay Bonansinga,Thomas Dunne/St. Martin's,"In the third Walking Dead zombie novel, set in the world of the comic book and TV series of the same name, the Governor’s story continues. ",15,1,"THE+FALL+OF+THE+GOVERNOR,+PART+1"
5636,THE REPUBLIC OF THIEVES,Scott Lynch,Del Rey,,17,0,THE+REPUBLIC+OF+THIEVES
5639,AND THE MOUNTAINS ECHOED,Khaled Hosseini,Riverhead,"A multigenerational family saga, by the author of “The Kite Runner,” centering on a brother and sister from a remote, impoverished village in Afghanistan.",11,9,AND+THE+MOUNTAINS+ECHOED
5640,DOCTOR SLEEP,Stephen King,Scribner,"Now grown up, Dan, the boy with psycho-intuitive powers in “The Shining,” helps another threatened child with a gift.",1,9,DOCTOR+SLEEP
5641,JUST ONE EVIL ACT,Elizabeth George,Dutton,"In the 18th Inspector Lynley novel, Lynley’s partner Barbara Havers searches for a friend’s kidnapped child in Italy.",10,2,JUST+ONE+EVIL+ACT
5643,IDENTICAL,Scott Turow,Grand Central,"Paul Giannis running for mayor of Kindle County, is accused of having played a role in the murder of his identical twin brother's girlfriend — for which his brother, Cass, has already served time.",10,6,IDENTICAL
5645,POLICE,Jo Nesbo,Knopf,A serial killer is targeting Oslo police officers; is Harry Hole still alive?,16,2,POLICE
5646,BRIDGET JONES: MAD ABOUT THE BOY,Helen Fielding,Knopf,"Bridget, now 51 and a mother and widow, is once again looking for love.",7,2,BRIDGET+JONES:+MAD+ABOUT+THE+BOY
5648,THE WOLVES OF MIDWINTER,Anne Rice,Knopf,"The second book of Rice’s Wolf Gift Chronicles, about a new species, the morphenkind. ",9,1,THE+WOLVES+OF+MIDWINTER
5653,THE LUMINARIES,Eleanor Catton,"Little, Brown",A murder mystery set in 19th-century New Zealand; winner of the 2013 Man Booker Prize.,13,5,THE+LUMINARIES
5654,THE LAST DARK,Stephen R Donaldson,Putnam,The 10th and final installment of the sprawling fantasy series about Thomas Covenant the Unbeliever.,15,1,THE+LAST+DARK
5656,DOG SONGS,Mary Oliver,Penguin,"The dogs who have shared the life of the Pulitzer Prize-winning poet, in 35 poems and an essay. Originally published in 2013.",16,1,DOG+SONGS
5657,THE SPIRIT OF STEAMBOAT,Craig Johnson,Viking,,18,0,THE+SPIRIT+OF+STEAMBOAT
5658,DOING HARD TIME,Stuart Woods,Putnam,The New York lawyer Stone Barrington teams up with a rogue ex-C.I.A. agent and heads West to protect Barrington’s son from Russian assassins. ,19,1,DOING+HARD+TIME
5659,STARRY NIGHT,Debbie Macomber,Ballantine,"At Christmastime, a big-city society-page columnist sets out to interview a notoriously reclusive author in Alaska.",19,1,STARRY+NIGHT
5660,SYCAMORE ROW,John Grisham,Doubleday,"A sequel, about race and inheritance, to “A Time to Kill.”",1,9,SYCAMORE+ROW
5661,THE GOLDFINCH,Donna Tartt,"Little, Brown"," A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",1,9,THE+GOLDFINCH
5663,WE ARE WATER,Wally Lamb,Harper,"About to marry the woman who is her gallery owner, a divorced artist and mother must confront secrets from her past.",11,5,WE+ARE+WATER
5673,SILENT NIGHT,Robert B Parker with Helen Brann,Putnam,"The unfinished manuscript of this Christmas story by Parker, who died in 2010, was completed by his longtime agent; it concerns a home for street kids that enlists the services of Spenser, the Boston P.I.",14,1,SILENT+NIGHT
5674,AIMLESS LOVE,Billy Collins,Random House,More than 50 new poems as well as selections from previous books from the two-term poet laureate of the Untied States.,12,3,AIMLESS+LOVE
5676,NEVER GO BACK,Lee Child,Delacorte,"Facing trumped-up charges, the former military cop Jack Reacher must clear his name while staying one step ahead of the Army, the F.B.I. and several thugs.",1,7,NEVER+GO+BACK
5681,AFTER DEAD,Charlaine Harris,Ace,A coda to the Sookie Stackhouse novels that inspired “True Blood.”,19,1,AFTER+DEAD
5683,WINNERS,Danielle Steel,Delacorte,"Six people with intertwined lives, among them an aspiring Olympic skier who is gravely injured, struggle to surmount challenges.",16,2,WINNERS
5686,ACCUSED,Lisa Scottoline,St. Martin's,Mary DiNunzio is now a partner at the all-women Philadelphia law firm of Rosato & Associates.,14,2,ACCUSED
5687,S.,Doug Dorst,"Mulholland/Little, Brown","In a project conceived by the writer and director J.J. Abrams, the facsimile of a novel published in 1949 contains marginal annotations, postcards, newspaper clippings and other objects. Two of the annotators are students who flirt and spar and begin to decode the novel's mystery.",10,9,S
5689,IDENTICAL,Scott Turow,Grand Central,"Paul Giannis, running for mayor of Kindle County, is accused of having played a role in the murder of his twin brother's girlfriend.",10,6,IDENTICAL
5690,FIFTEEN MINUTES,Karen Kingsbury,Howard Books,Fame turns the head of a contestant on a reality TV show. Can he regain what is important in his life?,11,1,FIFTEEN+MINUTES
5691,AIMLESS LOVE,Billy Collins,Random House,More than 50 new poems as well as selections from previous books from the two-term poet laureate of the United States.,12,3,AIMLESS+LOVE
5693,STORM FRONT,John Sandford,Putnam,The Minnesota investigator Virgil Flowers becomes involved in the hunt for an ancient inscribed stone.,1,4,STORM+FRONT
5694,THE CIRCLE,Dave Eggers,Knopf/McSweeney's,A dystopian novel about life at a powerful Internet company.,10,4,THE+CIRCLE
5699,THE LOWLAND,Jhumpa Lahiri,Knopf,"After his radical brother is killed, an Indian scientist brings his widow to join him in America. ",10,5,THE+LOWLAND
5701,MIRAGE,Clive Cussler with Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon probe the disappearance of an American destroyer in 1943. ,12,3,MIRAGE
5703,THE VALLEY OF AMAZEMENT,Amy Tan,Ecco/HarperCollins,The author of “The Joy Luck Club” follows mother and daughter courtesans over four decades.,12,7,THE+VALLEY+OF+AMAZEMENT
5704,THE MINOR ADJUSTMENT BEAUTY SALON,Alexander McCall Smith,Pantheon,The 14th installment of the No. 1 Ladies’ Detective Agency series.,17,1,THE+MINOR+ADJUSTMENT+BEAUTY+SALON
