,title,author,publisher,description,min_rank,max_weeks_on_list,title_url
834,DON'T LOOK TWICE,Andrew Gross,William Morrow,"The investigation of a drive-by shooting in Greenwich, Conn., reveals widespread corruption.",15,1,DON%27T+LOOK+TWICE
839,THE SHADOW QUEEN,Anne Bishop,Roc,,20,0,THE+SHADOW+QUEEN
841,CORSAIR,Clive Cussler and Jack Du Brul,Putnam,Juan Cabrillo and the crew of the Oregon search for a missing secretary of state whose plane has been shot down.,12,5,CORSAIR
846,DEAD SILENCE,Randy Wayne White,Putnam,Doc Ford searches for a kidnapped boy.,10,3,DEAD+SILENCE
855,THE HELP,Kathryn Stockett,Putnam,A young white woman and two black maids collaborate in 1960s ­Mississippi.,1,99,THE+HELP
857,FAULT LINE,Barry Eisler,Ballantine,,18,0,FAULT+LINE
868,ONE DAY AT A TIME,Danielle Steel,Delacorte,A Hollywood mother and her two daughters all find love.,18,4,ONE+DAY+AT+A+TIME
873,THE HELP,Kathryn Stockett,Putnam,A young white woman and two black maids in 1960s ­Mississippi.,1,99,THE+HELP
874,HOTEL ON THE CORNER OF BITTER AND SWEET,Jamie Ford,Ballantine,"
A friendship between a Chinese-American boy and a Japanese-American girl who are students in Seattle during World War II.",15,2,HOTEL+ON+THE+CORNER+OF+BITTER+AND+SWEET
876,LIFE SENTENCES,Laura Lippman,William Morrow,,17,0,LIFE+SENTENCES
877,FOOL,Christopher Moore,William Morrow,"King Lear’s fool tries to set things right in this comic, bawdy version.",11,5,FOOL
