,amazon_product_url,author,bestsellers_date,description,published_date,publisher,rank_last_week,rank_on_list,title,weeks_on_list,title_url,min_rank,max_weeks_on_list
8358,http://www.amazon.com/Lilac-Girls-Martha-Hall-Kelly/dp/1101883073?tag=NYTBS-20,Martha Hall Kelly,2016-05-21,"The lives of a New York socialite and a young German doctor intersect with a Polish teenager who is sent to Ravensbrück, a Nazi concentration camp for women.",2016-06-05,Ballantine,0,19,LILAC GIRLS,0,LILAC+GIRLS,13,4
8359,http://www.amazon.com/Everyone-Brave-Forgiven-Chris-Cleave/dp/1501124374?tag=NYTBS-20,Chris Cleave,2016-05-21,A young woman teaching in London and a soldier fall in love amid war and personal losses in a novel loosely based on the life of Cleave’s grandparents,2016-06-05,Simon & Schuster,0,20,EVERYONE BRAVE IS FORGIVEN,0,EVERYONE+BRAVE+IS+FORGIVEN,15,2
8360,http://www.amazon.com/City-Mirrors-Novel-Passage-Trilogy-ebook/dp/B015BCWZWW?tag=NYTBS-20,Justin Cronin,2016-05-28,"In the conclusion to the trilogy that included “The Passage” and “The Twelve,” the virals bent on destroying humanity seem to have been vanquished, only to rise again.",2016-06-12,Ballantine,0,1,THE CITY OF MIRRORS,1,THE+CITY+OF+MIRRORS,1,3
8361,http://www.amazon.com/The-Girl-Train-A-Novel-ebook/dp/B00L9B7IKE?tag=NYTBS-20,Paula Hawkins,2016-05-28,A psychological thriller set in the environs of London.,2016-06-12,Riverhead,4,2,THE GIRL ON THE TRAIN,72,THE+GIRL+ON+THE+TRAIN,1,9
8362,http://www.amazon.com/15th-Affair-Womens-Murder-Club/dp/0316407070?tag=NYTBS-20,James Patterson and Maxine Paetro,2016-05-28,"A brutal murder threatens the domestic happiness of the San Francisco police detective Lindsay Boxer, who turns for help to the Women's Murder Club.",2016-06-12,"Little, Brown",2,3,15TH AFFAIR,4,15TH+AFFAIR,1,7
8363,http://www.amazon.com/Weekenders-Novel-Mary-Kay-Andrews-ebook/dp/B0177626W4?tag=NYTBS-20,Mary Kay Andrews,2016-05-28,"On the North Carolina island of Belle Isle, a woman investigates her husband’s shady financial affairs after his mysterious death.",2016-06-12,St. Martin's,3,4,THE WEEKENDERS,2,THE+WEEKENDERS,11,5
8364,http://www.amazon.com/The-Last-Mile-Amos-Decker-ebook/dp/B016JC0THQ?tag=NYTBS-20,David Baldacci,2016-05-28,"In a sequel to “Memory Man,” Amos Decker helps the F.B.I. investigate the case of a killer who wins a reprieve.",2016-06-12,Grand Central,5,5,THE LAST MILE,6,THE+LAST+MILE,1,9
8365,http://www.amazon.com/The-Nest-Cynthia-DAprix-Sweeney-ebook/dp/B010LU8V8Q?tag=NYTBS-20,Cynthia D'Aprix Sweeney,2016-05-28,Siblings in a dysfunctional New York family must grapple with a reduced inheritance.,2016-06-12,Ecco/HarperCollins,6,6,THE NEST,10,THE+NEST,10,9
8366,http://www.amazon.com/After-You-Novel-Jojo-Moyes/dp/0525426590?tag=NYTBS-20,Jojo Moyes,2016-05-28,"In a sequel to “Me Before You,” Louisa Clark tries to put her life back together after the death of Will Traynor.",2016-06-12,Pamela Dorman/Viking,12,7,AFTER YOU,14,AFTER+YOU,11,9
8367,http://www.amazon.com/Fireman-Novel-Joe-Hill-ebook/dp/B013C5M08O?tag=NYTBS-20,Joe Hill,2016-05-28,"During an epidemic that causes people to spontaneously combust, an infected New Hampshire nurse fights to stay alive, aided by a mysterious figure known as the Fireman.",2016-06-12,Morrow/HarperCollins,1,8,THE FIREMAN,2,THE+FIREMAN,1,2
